Error Rate,Loss Rate,Completion Time (s)
0.0,0.0,0.07404899597167969
0.0,0.0,0.06554222106933594
0.0,0.0,0.12026333808898926
0.0,0.0,0.07054281234741211
0.0,0.0,0.13811993598937988
0.0,0.0,0.11515212059020996
0.05,0.0,3.150844097137451
0.0,0.0,0.11901998519897461
0.0,0.05,10.045900106430054
0.0,0.05,8.931887865066528
0.0,0.0,0.07268619537353516
0.1,0.0,6.659600734710693
0.0,0.0,0.07304763793945312
0.0,0.1,18.29281497001648
0.0,0.1,22.148765802383423
0.0,0.0,0.0738370418548584
0.15,0.0,10.5070481300354
0.0,0.0,0.07828378677368164
0.0,0.15,37.20192003250122
0.0,0.15,34.11498212814331
0.0,0.0,21.730062007904053
0.2,0.0,14.65104365348816
0.0,0.0,0.07990789413452148
0.0,0.2,14.105055093765259
0.0,0.2,50.01914191246033
0.0,0.0,30.671815872192383
0.25,0.0,64.10452508926392
0.0,0.0,31.19125485420227
0.0,0.25,19.321364879608154
0.0,0.25,18.434161901474
0.0,0.0,0.06963896751403809
0.3,0.0,86.7923698425293
0.0,0.0,41.36880302429199
0.0,0.3,82.51486396789551
0.0,0.3,24.649358987808228
0.0,0.0,0.11562085151672363
0.35,0.0,28.256478786468506
0.0,0.0,56.72329378128052
0.0,0.35,119.65979504585266
0.0,0.35,112.49266409873962
0.0,0.0,59.94911599159241
0.4,0.0,141.53183603286743
0.0,0.0,0.07268500328063965
0.0,0.4,37.55662798881531
0.0,0.4,36.130253076553345
0.0,0.0,72.00455403327942
0.45,0.0,190.13450527191162
0.0,0.0,73.76121115684509
0.0,0.45,166.9621660709381
0.0,0.45,189.0268840789795
0.0,0.0,0.06273007392883301
0.5,0.0,50.5339560508728
0.0,0.0,0.06569600105285645
0.0,0.5,251.69380521774292
0.0,0.5,256.3847658634186
0.0,0.0,0.07253408432006836
0.55,0.0,65.08779692649841
0.0,0.0,0.06980705261230469
0.0,0.55,348.2857871055603
0.0,0.55,348.2961230278015
0.0,0.0,115.30384397506714
0.6,0.0,395.0468831062317
0.0,0.0,123.07296085357666
0.0,0.6,390.4480481147766
0.0,0.6,80.27033305168152
